id;user_id;ip_escuela;ip_ministerio;Observacion;created_at;updated_at
1;;10.2.2.1;10.95.10.1;libre;;
2;;10.2.2.2;10.95.10.2;libre;;
3;;10.2.2.3;10.95.10.3;libre;;
4;;10.2.2.4;10.95.10.4;libre;;
5;;10.2.2.5;10.95.10.5;libre;;
6;;10.2.2.6;10.95.10.6;libre;;
7;;10.2.2.7;10.95.10.7;libre;;
8;;10.2.2.8;10.95.10.8;libre;;
9;;10.2.2.9;10.95.10.9;libre;;
10;;10.2.2.10;10.95.10.10;libre;;
11;;10.2.2.11;10.95.10.11;libre;;
12;;10.2.2.12;10.95.10.12;libre;;
13;;10.2.2.13;10.95.10.13;libre;;
14;;10.2.2.14;10.95.10.14;libre;;
15;;10.2.2.15;10.95.10.15;libre;;
16;;10.2.2.16;10.95.10.16;libre;;
17;;10.2.2.17;10.95.10.17;libre;;
18;;10.2.2.18;10.95.10.18;libre;;
19;;10.2.2.19;10.95.10.19;libre;;
20;;10.2.2.20;10.95.10.20;libre;;
21;;10.2.2.21;10.95.10.21;libre;;
22;;10.2.2.22;10.95.10.22;libre;;
23;;10.2.2.23;10.95.10.23;libre;;
24;;10.2.2.24;10.95.10.24;libre;;
25;;10.2.2.25;10.95.10.25;libre;;
26;;10.2.2.26;10.95.10.26;libre;;
27;;10.2.2.27;10.95.10.27;libre;;
28;;10.2.2.28;10.95.10.28;libre;;
29;;10.2.2.29;10.95.10.29;libre;;
30;;10.2.2.30;10.95.10.30;libre;;
31;;10.2.2.31;10.95.10.31;libre;;
32;;10.2.2.32;10.95.10.32;libre;;
33;;10.2.2.33;10.95.10.33;libre;;
34;;10.2.2.34;10.95.10.34;libre;;
35;;10.2.2.35;10.95.10.35;libre;;
36;;10.2.2.36;10.95.10.36;libre;;
37;;10.2.2.37;10.95.10.37;libre;;
38;;10.2.2.38;10.95.10.38;libre;;
39;;10.2.2.39;10.95.10.39;libre;;
40;;10.2.2.40;10.95.10.40;libre;;
41;;10.2.2.41;10.95.10.41;libre;;
42;;10.2.2.42;10.95.10.42;libre;;
43;;10.2.2.43;10.95.10.43;libre;;
44;;10.2.2.44;10.95.10.44;libre;;
45;;10.2.2.45;10.95.10.45;libre;;
46;;10.2.2.46;10.95.10.46;libre;;
47;;10.2.2.47;10.95.10.47;libre;;
48;;10.2.2.48;10.95.10.48;libre;;
49;;10.2.2.49;10.95.10.49;libre;;
50;;10.2.2.50;10.95.10.50;libre;;
51;;10.2.2.51;10.95.10.51;libre;;
52;;10.2.2.52;10.95.10.52;libre;;
53;;10.2.2.53;10.95.10.53;libre;;
54;;10.2.2.54;10.95.10.54;libre;;
55;;10.2.2.55;10.95.10.55;libre;;
56;;10.2.2.56;10.95.10.56;libre;;
57;;10.2.2.57;10.95.10.57;libre;;
58;;10.2.2.58;10.95.10.58;libre;;
59;;10.2.2.59;10.95.10.59;libre;;
60;;10.2.2.60;10.95.10.60;libre;;
61;;10.2.2.61;10.95.10.61;libre;;
62;;10.2.2.62;10.95.10.62;libre;;
63;;10.2.2.63;10.95.10.63;libre;;
64;;10.2.2.64;10.95.10.64;libre;;
65;;10.2.2.65;10.95.10.65;libre;;
66;;10.2.2.66;10.95.10.66;libre;;
67;;10.2.2.67;10.95.10.67;libre;;
68;;10.2.2.68;10.95.10.68;libre;;
69;;10.2.2.69;10.95.10.69;libre;;
70;;10.2.2.70;10.95.10.70;libre;;
71;;10.2.2.71;10.95.10.71;libre;;
72;;10.2.2.72;10.95.10.72;libre;;
73;;10.2.2.73;10.95.10.73;libre;;
74;;10.2.2.74;10.95.10.74;libre;;
75;;10.2.2.75;10.95.10.75;libre;;
76;;10.2.2.76;10.95.10.76;libre;;
77;;10.2.2.77;10.95.10.77;libre;;
78;;10.2.2.78;10.95.10.78;libre;;
79;;10.2.2.79;10.95.10.79;libre;;
80;;10.2.2.80;10.95.10.80;libre;;
81;;10.2.2.81;10.95.10.81;libre;;
82;;10.2.2.82;10.95.10.82;libre;;
83;;10.2.2.83;10.95.10.83;libre;;
84;;10.2.2.84;10.95.10.84;libre;;
85;;10.2.2.85;10.95.10.85;libre;;
86;;10.2.2.86;10.95.10.86;libre;;
87;;10.2.2.87;10.95.10.87;libre;;
88;;10.2.2.88;10.95.10.88;libre;;
89;;10.2.2.89;10.95.10.89;libre;;
90;;10.2.2.90;10.95.10.90;libre;;
91;;10.2.2.91;10.95.10.91;libre;;
92;;10.2.2.92;10.95.10.92;libre;;
93;;10.2.2.93;10.95.10.93;libre;;
94;;10.2.2.94;10.95.10.94;libre;;
95;;10.2.2.95;10.95.10.95;libre;;
96;;10.2.2.96;10.95.10.96;libre;;
97;;10.2.2.97;10.95.10.97;libre;;
98;;10.2.2.98;10.95.10.98;libre;;
99;;10.2.2.99;10.95.10.99;libre;;
100;;10.2.2.100;10.95.10.100;libre;;
101;;10.2.2.101;10.95.10.101;libre;;
102;;10.2.2.102;10.95.10.102;libre;;
103;;10.2.2.103;10.95.10.103;libre;;
104;;10.2.2.104;10.95.10.104;libre;;
105;;10.2.2.105;10.95.10.105;libre;;
106;;10.2.2.106;10.95.10.106;libre;;
107;;10.2.2.107;10.95.10.107;libre;;
108;;10.2.2.108;10.95.10.108;libre;;
109;;10.2.2.109;10.95.10.109;libre;;
110;;10.2.2.110;10.95.10.110;libre;;
111;;10.2.2.111;10.95.10.111;libre;;
112;;10.2.2.112;10.95.10.112;libre;;
113;;10.2.2.113;10.95.10.113;libre;;
114;;10.2.2.114;10.95.10.114;libre;;
115;;10.2.2.115;10.95.10.115;libre;;
116;;10.2.2.116;10.95.10.116;libre;;
117;;10.2.2.117;10.95.10.117;libre;;
118;;10.2.2.118;10.95.10.118;libre;;
119;;10.2.2.119;10.95.10.119;libre;;
120;;10.2.2.120;10.95.10.120;libre;;
121;;10.2.2.121;10.95.10.121;libre;;
122;;10.2.2.122;10.95.10.122;libre;;
123;;10.2.2.123;10.95.10.123;libre;;
124;;10.2.2.124;10.95.10.124;libre;;
125;;10.2.2.125;10.95.10.125;libre;;
126;;10.2.2.126;10.95.10.126;libre;;
127;;10.2.2.127;10.95.10.127;libre;;
128;;10.2.2.128;10.95.10.128;libre;;
129;;10.2.2.129;10.95.10.129;libre;;
130;;10.2.2.130;10.95.10.130;libre;;
131;;10.2.2.131;10.95.10.131;libre;;
132;;10.2.2.132;10.95.10.132;libre;;
133;;10.2.2.133;10.95.10.133;libre;;
134;;10.2.2.134;10.95.10.134;libre;;
135;;10.2.2.135;10.95.10.135;libre;;
